Spelnamn,Rating,#Reviews,Rabatt%,Pris,OrdinariePris,Utgivningsår,Win,Lin,OSX,Tid
UNCHARTED™: Legacy of Thieves Collection,89%,"15,385",-60%,"19,99€","49,99€","19 Oct, 2022",1,0,0,27/11/2024
Hearts of Iron IV,91%,"224,247",-70%,"14,99€","49,99€","9 Apr, 2024",1,1,1,27/11/2024
EA SPORTS FC™ 25,45%,"22,763",-50%,"34,99€","69,99€","26 Sep, 2024",1,0,0,27/11/2024
Diablo® IV,71%,"28,299",-40%,"29,99€","49,99€","7 Oct, 2024",1,0,0,27/11/2024
Goat Simulator 3,97%,"4,670",-67%,"9,89€","29,99€","15 Feb, 2024",1,0,0,27/11/2024
Hell Let Loose,84%,"84,235",-50%,"29,99€","59,99€","27 Jul, 2021",1,0,0,27/11/2024
Void Crew,88%,"3,196",-20%,"19,99€","24,99€","25 Nov, 2024",1,0,0,27/11/2024
ASKA,78%,"4,032",-30%,"17,49€","24,99€","20 Jun, 2024",1,0,0,27/11/2024
Victoria 3,68%,"31,919",-50%,"24,99€","49,99€","25 Oct, 2022",1,1,1,27/11/2024
Grand Theft Auto V,87%,"1,743,438",N/A,"29,98€",N/A,"13 Apr, 2015",1,0,0,27/11/2024
Oxygen Not Included,96%,"113,712",-66%,"7,81€","22,99€","30 Jul, 2019",1,1,1,27/11/2024
House Flipper - Dine Out DLC,84%,25,-10%,"13,31€","14,79€","26 Nov, 2024",1,0,1,27/11/2024
"""Master Detective Archives: RAIN CODE Plus"" ""Danganronpa 1, 2, V3"" Bundle",93%,"68,460",N/A,"60,30€",N/A,,1,0,0,27/11/2024
Foxhole,82%,"34,977",-38%,"15,49€","24,99€","28 Sep, 2022",1,0,0,27/11/2024
REMNANT II®,83%,"38,755",-50%,"24,99€","49,99€","25 Jul, 2023",1,0,0,27/11/2024
Soulmask,79%,"9,537",-20%,"23,99€","29,99€","30 May, 2024",1,0,0,27/11/2024
Grand Theft Auto V: Premium Edition,87%,"1,755,481",N/A,"29,98€",N/A,,1,0,0,27/11/2024
Oxygen Not Included Bundle,96%,"115,230",-49%,"15,94€","31,17€",,1,1,1,27/11/2024
Disney Dreamlight Valley,91%,"16,158",-25%,"29,99€","39,99€","5 Dec, 2023",1,0,0,27/11/2024
ASTRONEER,92%,"105,240",-67%,"9,89€","29,99€","5 Feb, 2019",1,0,0,27/11/2024
Star Wars Outlaws,69%,560,-25%,"52,49€","69,99€","21 Nov, 2024",1,0,0,27/11/2024
Stellaris: Season 08 - Expansion Pass,87%,"122,239",N/A,"74,36€",N/A,,1,1,1,27/11/2024
NBA 2K25,57%,"7,739",-61%,"49,76€","126,08€","28 Oct, 2024",1,0,0,27/11/2024
Construction Simulator,81%,"7,418",-50%,"17,49€","34,99€","20 Sep, 2022",1,0,0,27/11/2024
Teardown,95%,"93,400",-50%,"14,99€","29,99€","21 Apr, 2022",1,0,0,27/11/2024
New Arc Line,79%,49,-15%,"16,99€","19,99€","26 Nov, 2024",1,0,0,27/11/2024
Spiritfarer®: Farewell Edition,95%,"35,259",-85%,"4,34€","28,99€","18 Aug, 2020",1,1,1,27/11/2024
STAR WARS™ Complete Collection,92%,"206,626",N/A,"220,20€",N/A,,1,0,0,27/11/2024
Tin Can,85%,774,-70%,"5,39€","17,99€","12 May, 2022",1,0,0,27/11/2024
Red Dead Redemption & Red Dead Redemption 2 Bundle,91%,"591,533",N/A,"98,98€",N/A,,1,0,0,27/11/2024
Overcooked! 2,90%,"48,550",-80%,"8,49€","42,49€","7 Aug, 2018",1,1,1,27/11/2024
Test Drive Unlimited Solar Crown,34%,"3,971",-30%,"34,99€","49,99€","12 Sep, 2024",1,0,0,27/11/2024
